期号,开奖日期,开奖星期,红球,蓝球,一等奖注数,一等奖金额(元),二等奖注数,二等奖金额(元),总销售额(元),奖池金额(元),开奖公告
2025021,2025-02-27,星期四,"07,08,16,18,25,32",14,21,6057831,226,122867,406699544,1838921415,上海20注，陕西1注，共21注。
2025020,2025-02-25,星期二,"04,11,13,16,26,30",15,11,6958943,317,84969,397475096,1882831619,河北3注，上海1注，浙江1注，山东1注，湖南1注，广东1注，贵州1注，云南2注，共11注。
2025019,2025-02-23,星期日,"05,13,17,18,22,23",11,5,9446148,168,165407,426478858,1878573590,湖南1注，贵州1注，云南1注，深圳2注，共5注。
2025018,2025-02-20,星期四,"03,09,18,21,28,29",11,14,6438850,149,168992,389691430,1842439055,黑龙江1注，上海2注，江苏2注，山东5注，重庆1注，河南1注，四川2注，共14注。
2025017,2025-02-18,星期二,"04,12,15,18,28,29",05,4,10000000,115,226470,385907866,1857043294,山西1注，安徽1注，广东2注，共4注。
2025016,2025-02-16,星期日,"02,03,12,16,20,29",14,7,8917598,162,211598,422332862,1818910823,河北1注，辽宁1注，江苏1注，浙江1注，广东1注，云南1注，深圳1注，共7注。
2025015,2025-02-13,星期四,"04,11,15,24,25,33",15,25,5807839,344,73386,381850646,1778497050,河北1注，辽宁2注，安徽2注，江西3注，山东2注，湖北2注，湖南2注，广东1注，广西3注，四川3注，贵州1注，云南1注，陕西2注，共25注。
2025014,2025-02-11,星期二,"06,07,09,13,21,27",05,10,6143205,111,128739,376048608,1847958110,北京1注，河北1注，山西1注，内蒙古2注，辽宁2注，重庆1注，河南1注，深圳1注，共10注。
2025013,2025-02-09,星期日,"04,14,16,23,24,30",14,8,7973397,124,239790,400862420,1866519971,山西2注，安徽1注，山东1注，湖北1注，广东1注，云南1注，陕西1注，共8注。
2025012,2025-02-06,星期四,"07,11,13,18,27,31",11,6,8641191,132,206885,384392632,1841105218,浙江1注，安徽1注，江西1注，山东2注，甘肃1注，共6注。
2025011,2025-01-26,星期日,"06,13,17,22,24,29",11,6,9443761,202,164991,460490078,1811025553,辽宁2注，江西1注，山东2注，广东1注，共6注。
2025010,2025-01-23,星期四,"04,06,07,16,17,21",08,38,5347610,129,127996,385376562,1767703481,山东5注，广东30注，云南1注，甘肃2注，共38注。
2025009,2025-01-21,星期二,"02,04,11,12,23,25",06,14,6272287,334,66661,375791606,1921378198,天津1注，江苏6注，浙江1注，湖南5注，四川1注，共14注。
2025008,2025-01-19,星期日,"09,14,16,17,25,33",11,2,10000000,155,216873,419205612,1942395126,黑龙江1注，河南1注，共2注。
2025007,2025-01-16,星期四,"07,08,14,18,21,27",11,3,10000000,113,197325,388819806,1861548871,河北1注，广东1注，贵州1注，共3注。
2025006,2025-01-14,星期二,"01,07,08,17,20,22",06,16,6058887,328,64566,388340672,1824655469,北京1注，河北2注，辽宁1注，上海2注，浙江1注，安徽1注，福建1注，重庆1注，湖南1注，广东1注，贵州1注，云南2注，宁夏1注，共16注。
2025005,2025-01-12,星期日,"10,16,19,27,28,30",09,13,5996460,139,116492,424386010,1858064417,河北2注，福建3注，山东2注，湖南2注，广东1注，广西2注，陕西1注，共13注。
2025004,2025-01-09,星期四,"03,07,17,27,29,32",04,9,6908281,118,181933,391221400,1887440945,黑龙江1注，浙江1注，山东1注，湖北1注，广东1注，陕西2注，新疆2注，共9注。
2025003,2025-01-07,星期二,"10,19,20,26,28,29",15,7,8424488,135,221957,396515706,1885210987,江苏1注，浙江1注，福建1注，山东3注，深圳1注，共7注。
2025002,2025-01-05,星期日,"09,12,13,15,22,26",11,2,10000000,116,233876,439670530,1854289576,北京1注，广东1注，共2注。
2025001,2025-01-02,星期四,"02,03,17,18,22,33",16,108,5234395,204,155114,404437376,1792900594,内蒙古1注，江苏1注，湖南2注，广东101注，甘肃1注，青海1注，宁夏1注，共108注。
2024151,2024-12-31,星期二,"05,10,16,19,29,32",04,14,6744515,193,158181,428356574,2263285189,北京1注，河北1注，江苏4注，浙江1注，河南6注，广东1注，共14注。
2024150,2024-12-29,星期日,"13,14,20,22,26,32",02,5,10000000,63,512774,434694410,2266121359,河北1注，江西2注，四川2注，共5注。
2024149,2024-12-26,星期四,"03,09,16,17,18,22",16,6,8684808,133,207789,411127632,2219207042,天津1注，江苏2注，福建1注，广东2注，共6注。
2024148,2024-12-24,星期二,"02,06,15,16,21,23",11,7,8367239,85,346627,412346050,2188407705,吉林1注，黑龙江2注，上海1注，福建1注，江西1注，陕西1注，共7注。
2024147,2024-12-22,星期日,"05,11,13,16,21,30",10,6,8463788,120,216486,438660552,2158588347,北京2注，浙江1注，山东2注，陕西1注，共6注。
2024146,2024-12-19,星期四,"02,04,11,22,27,32",10,24,5730487,359,61043,413166618,2131435845,河北1注，吉林1注，黑龙江1注，江苏1注，浙江4注，安徽1注，福建5注，湖南1注，广东2注，四川2注，贵州2注，云南2注，陕西1注，共24注。
2024145,2024-12-17,星期二,"01,03,16,22,23,30",03,11,6873666,121,212916,451419346,2203223647,北京1注，江苏2注，浙江1注，江西1注，山东1注，广西1注，海南1注，云南2注，新疆1注，共11注。其中一等奖特别奖为：北京1注，江苏2注，浙江1注，山东1注，广西1注，云南1注。
2024144,2024-12-15,星期日,"02,09,11,17,20,30",11,17,6315172,315,88721,491869822,2201545229,北京2注，辽宁1注，江苏1注，安徽4注，河南1注，湖南4注，广东1注，四川1注，云南1注，甘肃1注，共17注。其中一等奖特别奖为：北京2注，辽宁1注，江苏1注，安徽4注，河南1注，湖南4注，广东1注，四川1注。
2024143,2024-12-12,星期四,"02,05,11,22,30,33",10,8,7936178,226,129919,463226948,2225060896,天津1注，上海1注，湖南1注，广西1注，陕西2注，宁夏1注，深圳1注，共8注。其中一等奖特别奖为：天津1注，上海1注，湖南1注，广西1注，陕西1注，宁夏1注，深圳1注。
2024142,2024-12-10,星期二,"04,06,13,21,22,25",06,14,5840382,178,82621,441190576,2200464970,辽宁1注，上海1注，山东2注，重庆1注，湖南3注，广东2注，广西1注，云南2注，宁夏1注，共14注。其中一等奖特别奖为：辽宁1注，上海1注，山东1注，重庆1注，湖南3注，宁夏1注。
2024141,2024-12-08,星期日,"01,02,07,15,24,29",12,20,6385169,188,184198,481535824,2238110251,内蒙古10注，浙江2注，江西3注，云南5注，共20注。其中一等奖特别奖为：内蒙古10注，浙江2注，江西3注。
2024140,2024-12-05,星期四,"04,07,08,17,22,26",15,5,9931134,180,171219,459136590,2261925902,河北1注，浙江1注，广东2注，四川1注，共5注。其中一等奖特别奖为：河北1注，广东2注。
2024139,2024-12-03,星期二,"15,16,20,22,23,29",14,11,7433686,97,344981,456605906,2219122799,北京3注，上海1注，江西1注，四川4注，陕西1注，新疆1注，共11注。其中一等奖特别奖为：北京3注，上海1注，四川4注，陕西1注。
2024138,2024-12-01,星期日,"02,07,11,21,27,28",02,20,6031367,307,83987,491074898,2200503777,吉林1注，黑龙江1注，江苏1注，福建2注，山东3注，河南1注，湖北1注，湖南2注，广东1注，四川2注，贵州1注，陕西3注，新疆1注，共20注。其中一等奖特别奖为：江苏1注，福建2注，山东2注，河南1注，湖北1注，四川2注，贵州1注，陕西2注。
2024137,2024-11-28,星期四,"04,09,10,19,26,27",12,70,5291924,855,29875,446966366,2243778557,河北1注，内蒙古1注，辽宁2注，黑龙江1注，江苏1注，浙江4注，山东2注，河南2注，湖南3注，广西1注，四川3注，贵州1注，云南1注，陕西4注，甘肃1注，新疆2注，深圳40注，共70注。其中一等奖特别奖为：河北1注，浙江4注，山东1注，湖南3注，广西1注，四川2注，贵州1注，云南1注，陕西2注，甘肃1注，新疆1注，深圳40注。
2024136,2024-11-26,星期二,"03,11,15,21,25,26",03,8,7126819,131,162352,429233698,2537583064,北京2注，吉林1注，江苏1注，浙江1注，福建1注，贵州1注，新疆1注，共8注。其中一等奖特别奖为：北京1注，吉林1注，江苏1注，福建1注，新疆1注。
2024135,2024-11-24,星期日,"05,11,17,18,30,31",13,19,6358348,256,126018,465732500,2530793029,北京1注，内蒙古1注，浙江1注，安徽3注，广东1注，四川2注，云南1注，陕西2注，青海2注，深圳5注，共19注。其中一等奖特别奖为：安徽3注，广东1注，四川1注，青海2注，深圳5注。
2024134,2024-11-21,星期四,"02,04,13,16,18,20",16,2,10000000,103,347603,439880754,2554819300,四川1注，陕西1注，共2注。
2024133,2024-11-19,星期二,"01,11,15,27,30,33",01,22,6215178,128,261073,432267736,2467409931,上海1注，浙江4注，山东1注，湖北2注，湖南1注，广东1注，四川2注，贵州1注，新疆1注，深圳8注，共22注。其中一等奖特别奖为：浙江1注，山东1注，湖北2注，湖南1注，深圳5注。
2024132,2024-11-17,星期日,"01,04,25,27,28,33",03,6,9262921,87,367493,471463176,2503891643,浙江1注，河南1注，湖南1注，陕西2注，新疆1注，共6注。其中一等奖特别奖为：湖南1注，陕西2注，新疆1注。
2024131,2024-11-14,星期四,"04,05,11,15,20,32",13,15,6477046,236,117350,435463406,2463553435,北京1注，河北1注，内蒙古1注，浙江2注，湖南1注，四川2注，陕西1注，甘肃1注，新疆1注，深圳4注，共15注。其中一等奖特别奖为：浙江2注，湖南1注，四川2注，陕西1注，甘肃1注，深圳4注。
2024130,2024-11-12,星期二,"01,08,12,17,19,24",16,9,8258734,135,271561,439889754,2477625267,天津1注，辽宁1注，江苏1注，浙江2注，河南2注，广东1注，四川1注，共9注。其中一等奖特别奖为：天津1注，辽宁1注，浙江1注，河南2注，广东1注。
2024129,2024-11-10,星期日,"09,10,13,19,24,32",01,16,6564961,120,260826,479114118,2441971585,浙江1注，安徽1注，河南1注，广东5注，四川5注，陕西3注，共16注。其中一等奖特别奖为：安徽1注，河南1注，广东5注，四川5注。
2024128,2024-11-07,星期四,"01,08,13,18,20,26",16,2,10000000,118,275714,445426800,2453113294,辽宁1注，广东1注，共2注。其中一等奖特别奖为：辽宁1注。
2024127,2024-11-05,星期二,"02,05,13,20,27,32",10,5,10000000,165,200294,438566712,2375510386,河北1注，湖南1注，广东1注，甘肃1注，青海1注，共5注。其中一等奖特别奖为：河北1注，湖南1注。
2024126,2024-11-03,星期日,"14,18,23,24,26,33",10,8,7899383,69,420200,473613616,2326364768,天津1注，辽宁1注，黑龙江2注，江苏1注，浙江1注，河南1注，青海1注，共8注。其中一等奖特别奖为：天津1注，黑龙江2注，青海1注。
2024125,2024-10-31,星期四,"01,04,13,18,26,30",03,9,7049350,419,55024,351905686,2302578322,浙江1注，山东3注，广西1注，西藏1注，陕西3注，共9注。
2024124,2024-10-29,星期二,"02,14,15,17,25,30",11,4,8675507,80,229719,346613892,2296856893,吉林1注，上海1注，山东2注，共4注。
2024123,2024-10-27,星期日,"02,15,22,26,30,33",04,7,7811149,84,292828,375813786,2276426310,安徽2注，江西2注，河南1注，广东1注，云南1注，共7注。
2024122,2024-10-24,星期四,"05,07,09,16,17,29",15,10,6842408,228,101009,352551896,2257311684,北京1注，河北1注，上海1注，江苏1注，浙江2注，安徽1注，广东1注，陕西1注，深圳1注，共10注。
2024121,2024-10-22,星期二,"01,07,10,13,27,33",03,12,6509256,68,332924,341159894,2256645443,北京5注，河北1注，辽宁1注，江苏1注，云南2注，深圳2注，共12注。
2024120,2024-10-20,星期日,"01,05,07,11,18,19",07,15,5809161,183,82905,364140764,2266839986,上海3注，山东2注，河南1注，湖北2注，湖南3注，广东1注，广西1注，贵州1注，陕西1注，共15注。
2024119,2024-10-17,星期四,"02,09,26,27,31,32",14,4,10000000,72,421211,343140726,2308462079,江苏1注，福建1注，广东1注，四川1注，共4注。
2024118,2024-10-15,星期二,"02,03,04,06,11,15",14,5,9295085,64,419441,342882326,2257480299,内蒙古4注，安徽1注，共5注。
2024117,2024-10-13,星期日,"03,12,14,16,29,32",12,4,9643552,113,205466,376451952,2223422878,北京1注，河北1注，上海1注，云南1注，共4注。
2024116,2024-10-10,星期四,"01,15,20,22,31,32",03,2,10000000,66,377266,352746618,2192343800,广东2注，共2注。
2024115,2024-10-08,星期二,"03,10,11,19,27,28",07,29,5193979,178,39504,341744330,2137644946,河北4注，吉林1注，浙江2注，安徽3注，福建5注，江西1注，山东2注，湖北1注，广东3注，四川1注，陕西1注，宁夏5注，共29注。
2024114,2024-10-06,星期日,"07,11,18,24,27,32",04,6,8359466,250,100783,354097454,2267175046,吉林1注，上海1注，福建1注，广东1注，贵州1注，云南1注，共6注。
2024113,2024-09-29,星期日,"04,05,23,24,26,31",11,1,10000000,65,352996,377101508,2241743848,广西1注，共1注。
2024112,2024-09-26,星期四,"08,11,16,25,29,32",03,9,6945481,163,134274,348744958,2182909574,黑龙江2注，江苏1注，福建2注，重庆1注，河南1注，四川1注，陕西1注，共9注。
2024111,2024-09-24,星期二,"01,04,11,12,22,30",16,11,6770241,178,136746,339434250,2179758898,河北2注，浙江1注，山东1注，重庆5注，河南1注，湖南1注，共11注。
2024110,2024-09-22,星期日,"04,13,17,23,25,33",14,4,10000000,69,376070,368550846,2181209099,内蒙古1注，浙江1注，四川2注，共4注。
2024109,2024-09-19,星期四,"03,04,24,28,29,33",09,9,6920631,72,300098,343699030,2143362495,河北1注，江苏1注，安徽1注，湖北1注，湖南1注，广东1注，四川2注，甘肃1注，共9注。
2024108,2024-09-17,星期二,"01,08,09,23,24,30",08,8,6743322,139,125418,323582976,2140826873,天津1注，浙江3注，安徽2注，山东1注，四川1注，共8注。
2024107,2024-09-15,星期日,"01,06,08,13,17,19",09,18,5505283,90,126320,354933898,2142473782,北京1注，辽宁11注，上海1注，安徽1注，山东1注，四川3注，共18注。
2024106,2024-09-12,星期四,"03,08,11,22,31,33",04,11,6945786,208,128627,347018184,2207462227,浙江2注，湖北1注，广东5注，广西2注，陕西1注，共11注。
2024105,2024-09-10,星期二,"02,05,17,19,29,33",04,6,7983113,62,360860,342083742,2203602195,安徽3注，山东1注，重庆1注，深圳1注，共6注。
2024104,2024-09-08,星期日,"05,16,23,24,26,29",04,10,6546611,206,93847,373660982,2184380821,河北1注，山西1注，内蒙古1注，吉林1注，安徽1注，江西2注，贵州1注，陕西1注，新疆1注，共10注。
2024103,2024-09-05,星期四,"12,21,23,27,32,33",15,8,7570038,115,223481,346931426,2191849007,福建1注，河南1注，广东5注，四川1注，共8注。
2024102,2024-09-03,星期二,"09,15,18,21,22,25",01,5,8500888,197,111068,344796788,2175308161,北京1注，辽宁2注，广西1注，四川1注，共5注。
2024101,2024-09-01,星期日,"08,12,15,17,19,30",08,11,6191911,103,159114,374345806,2152170943,江苏1注，浙江7注，河南2注，云南1注，共11注。
2024100,2024-08-29,星期四,"13,14,19,20,27,30",05,3,10000000,79,279912,348781408,2171115625,上海1注，江苏1注，广东1注，共3注。
2024099,2024-08-27,星期二,"04,12,17,24,26,27",16,9,7097651,92,256506,344108040,2134776394,浙江2注，安徽1注，湖北1注，湖南1注，云南1注，陕西1注，甘肃1注，深圳1注，共9注。
2024098,2024-08-25,星期日,"03,08,10,20,30,31",02,9,7358066,171,155135,381156802,2127859521,天津1注，黑龙江1注，江苏2注，浙江1注，安徽1注，山东1注，河南2注，共9注。
2024097,2024-08-22,星期四,"04,10,12,13,18,30",03,3,10000000,40,661419,354395754,2114497370,江苏1注，安徽1注，云南1注，共3注。
2024096,2024-08-20,星期二,"02,04,14,18,23,27",13,4,10000000,203,125916,352522568,2065127017,江苏1注，浙江1注，山东1注，广东1注，共4注。
2024095,2024-08-18,星期日,"04,06,09,14,16,21",03,17,5582857,199,62239,385134230,2028443682,北京1注，天津1注，内蒙古1注，吉林1注，浙江1注，山东6注，河南1注，湖北1注，湖南1注，广东1注，广西1注，陕西1注，共17注。
